deck_type,num_decks,random_seed,gen_time,file_size,write_time,read_time
DeckStack_npy,10000,0,0 days 00:00:00.011992,0.49603271484375,0:00:00,0:00:00.101925
DeckStack_bin,10000,1,0 days 00:00:00.097261,0.49591064453125,0:00:00,0:00:00.023625
DeckStack_npy,10000,2,0 days 00:00:00.019638,0.49603271484375,0:00:00.017317,0:00:00.061902
DeckStack_bin,10000,3,0 days 00:00:00.082284,0.49591064453125,0:00:00,0:00:00.028763
DeckStack_npy,10000,4,0 days 00:00:00.016171,0.49603271484375,0:00:00.012381,0:00:00.068511
DeckStack_bin,10000,5,0 days 00:00:00.095722,0.49591064453125,0:00:00.009090,0:00:00.022866
DeckStack_npy,10000,6,0 days 00:00:00.020826,0.49603271484375,0:00:00.014687,0:00:00.067126
DeckStack_bin,10000,7,0 days 00:00:00.100775,0.49591064453125,0:00:00,0:00:00.016000
DeckStack_npy,10000,8,0 days 00:00:00.029997,0.49603271484375,0:00:00,0:00:00.079408
DeckStack_bin,10000,9,0 days 00:00:00.090193,0.49591064453125,0:00:00.015671,0:00:00.015718
DeckStack_npy,10000,10,0 days 00:00:00.014675,0.49603271484375,0:00:00.013375,0:00:00.066055
DeckStack_bin,10000,11,0 days 00:00:00.095962,0.49591064453125,0:00:00,0:00:00.025667
DeckStack_npy,10000,12,0 days 00:00:00.015452,0.49603271484375,0:00:00.015579,0:00:00.068894
DeckStack_bin,10000,13,0 days 00:00:00.102859,0.49591064453125,0:00:00.007704,0:00:00.017567
DeckStack_npy,10000,14,0 days 00:00:00.014515,0.49603271484375,0:00:00.014031,0:00:00.065194
DeckStack_bin,10000,15,0 days 00:00:00.088994,0.49591064453125,0:00:00.006328,0:00:00.023804
DeckStack_npy,10000,16,0 days 00:00:00.016136,0.49603271484375,0:00:00.012332,0:00:00.067108
DeckStack_bin,10000,17,0 days 00:00:00.100542,0.49591064453125,0:00:00,0:00:00.005589
DeckStack_npy,10000,18,0 days 00:00:00.018580,0.49603271484375,0:00:00,0:00:00.063975
DeckStack_bin,10000,19,0 days 00:00:00.099249,0.49591064453125,0:00:00.004563,0:00:00.025172
DeckStack_npy,10000,20,0 days 00:00:00.006758,0.49603271484375,0:00:00.010424,0:00:00.062433
DeckStack_bin,10000,21,0 days 00:00:00.109946,0.49591064453125,0:00:00.005758,0:00:00.008374
DeckStack_npy,10000,22,0 days 00:00:00.016717,0.49603271484375,0:00:00.011430,0:00:00.081868
DeckStack_bin,10000,23,0 days 00:00:00.096582,0.49591064453125,0:00:00.005698,0:00:00.015853
DeckStack_npy,10000,24,0 days 00:00:00.019046,0.49603271484375,0:00:00.011582,0:00:00.052085
DeckStack_bin,10000,25,0 days 00:00:00.083401,0.49591064453125,0:00:00.019367,0:00:00.028189
DeckStack_npy,10000,26,0 days 00:00:00.015955,0.49603271484375,0:00:00,0:00:00.048079
DeckStack_bin,10000,27,0 days 00:00:00.079119,0.49591064453125,0:00:00.008964,0:00:00.028790
DeckStack_npy,10000,28,0 days 00:00:00.015772,0.49603271484375,0:00:00.012500,0:00:00.044263
DeckStack_bin,10000,29,0 days 00:00:00.079313,0.49591064453125,0:00:00.016021,0:00:00.015873
DeckStack_npy,10000,30,0 days 00:00:00.016107,0.49603271484375,0:00:00.011682,0:00:00.068132
DeckStack_bin,10000,31,0 days 00:00:00.100396,0.49591064453125,0:00:00,0:00:00.028392
DeckStack_npy,10000,32,0 days 00:00:00.015995,0.49603271484375,0:00:00.010905,0:00:00.074616
DeckStack_bin,10000,33,0 days 00:00:00.096742,0.49591064453125,0:00:00.016086,0:00:00.025951
DeckStack_npy,10000,34,0 days 00:00:00.013272,0.49603271484375,0:00:00.015564,0:00:00.063655
DeckStack_bin,10000,35,0 days 00:00:00.088716,0.49591064453125,0:00:00,0:00:00.031721
DeckStack_npy,10000,36,0 days 00:00:00.005982,0.49603271484375,0:00:00.015818,0:00:00.057407
DeckStack_bin,10000,37,0 days 00:00:00.095725,0.49591064453125,0:00:00,0:00:00.030908
DeckStack_npy,10000,38,0 days 00:00:00.015978,0.49603271484375,0:00:00.022856,0:00:00.073863
DeckStack_bin,10000,39,0 days 00:00:00.098706,0.49591064453125,0:00:00.004374,0:00:00.015769
DeckStack_npy,10000,40,0 days 00:00:00.016978,0.49603271484375,0:00:00.011409,0:00:00.052956
DeckStack_bin,10000,41,0 days 00:00:00.087344,0.49591064453125,0:00:00,0:00:00.011796
DeckStack_npy,10000,42,0 days 00:00:00.015762,0.49603271484375,0:00:00.022091,0:00:00.056629
DeckStack_bin,10000,43,0 days 00:00:00.081438,0.49591064453125,0:00:00,0:00:00.012375
DeckStack_npy,10000,44,0 days 00:00:00.015905,0.49603271484375,0:00:00,0:00:00.052806
DeckStack_bin,10000,45,0 days 00:00:00.089129,0.49591064453125,0:00:00,0:00:00.015893
DeckStack_npy,10000,46,0 days 00:00:00.015990,0.49603271484375,0:00:00,0:00:00.079448
DeckStack_bin,10000,47,0 days 00:00:00.079685,0.49591064453125,0:00:00.015674,0:00:00.016198
DeckStack_npy,10000,48,0 days 00:00:00.010098,0.49603271484375,0:00:00,0:00:00.051691
DeckStack_bin,10000,49,0 days 00:00:00.079068,0.49591064453125,0:00:00,0:00:00.045709
DeckStack_npy,10000,50,0 days 00:00:00.016029,0.49603271484375,0:00:00.010999,0:00:00.052141
DeckStack_bin,10000,51,0 days 00:00:00.093993,0.49591064453125,0:00:00,0:00:00.015815
DeckStack_npy,10000,52,0 days 00:00:00.017523,0.49603271484375,0:00:00.002785,0:00:00.044950
DeckStack_bin,10000,53,0 days 00:00:00.095724,0.49591064453125,0:00:00.013236,0:00:00.018286
DeckStack_npy,10000,54,0 days 00:00:00.016071,0.49603271484375,0:00:00,0:00:00.045974
DeckStack_bin,10000,55,0 days 00:00:00.097318,0.49591064453125,0:00:00.003040,0:00:00.015848
DeckStack_npy,10000,56,0 days 00:00:00.015798,0.49603271484375,0:00:00.012889,0:00:00.050699
DeckStack_bin,10000,57,0 days 00:00:00.096610,0.49591064453125,0:00:00,0:00:00.024883
DeckStack_npy,10000,58,0 days 00:00:00.015733,0.49603271484375,0:00:00.024392,0:00:00.055476
DeckStack_bin,10000,59,0 days 00:00:00.080049,0.49591064453125,0:00:00,0:00:00.020432
DeckStack_npy,10000,60,0 days 00:00:00.015852,0.49603271484375,0:00:00.017768,0:00:00.061665
DeckStack_bin,10000,61,0 days 00:00:00.079705,0.49591064453125,0:00:00.010348,0:00:00.029738
DeckStack_npy,10000,62,0 days 00:00:00.019783,0.49603271484375,0:00:00,0:00:00.055642
DeckStack_bin,10000,63,0 days 00:00:00.103254,0.49591064453125,0:00:00.018612,0:00:00.013003
DeckStack_npy,10000,64,0 days 00:00:00.016205,0.49603271484375,0:00:00.011871,0:00:00.055341
DeckStack_bin,10000,65,0 days 00:00:00.093129,0.49591064453125,0:00:00.018311,0:00:00
DeckStack_npy,10000,66,0 days 00:00:00.016090,0.49603271484375,0:00:00.003477,0:00:00.043777
DeckStack_bin,10000,67,0 days 00:00:00.095320,0.49591064453125,0:00:00.005806,0:00:00.016852
DeckStack_npy,10000,68,0 days 00:00:00.017504,0.49603271484375,0:00:00.011461,0:00:00.079817
DeckStack_bin,10000,69,0 days 00:00:00.091265,0.49591064453125,0:00:00.008607,0:00:00.014125
