deck_type,num_decks,random_seed,gen_time,file_size,write_time,read_time
DeckStack_npy,10000,0,0 days 00:00:00.026139,0.49603271484375,0:00:00.002007,0:00:00.281068
DeckStack_bin,10000,1,0 days 00:00:00.145772,0.49591064453125,0:00:00.012421,0:00:00.049178
DeckStack_npy,10000,2,0 days 00:00:00.031605,0.49603271484375,0:00:00.036734,0:00:00.173306
DeckStack_bin,10000,3,0 days 00:00:00.115075,0.49591064453125,0:00:00.004024,0:00:00.039203
DeckStack_npy,10000,4,0 days 00:00:00.016533,0.49603271484375,0:00:00.002012,0:00:00.116552
DeckStack_bin,10000,5,0 days 00:00:00.117921,0.49591064453125,0:00:00.005678,0:00:00.050844
DeckStack_npy,10000,6,0 days 00:00:00.027161,0.49603271484375,0:00:00.002939,0:00:00.118964
DeckStack_bin,10000,7,0 days 00:00:00.087651,0.49591064453125,0:00:00.006728,0:00:00.035027
DeckStack_npy,10000,8,0 days 00:00:00.008522,0.49603271484375,0:00:00.002981,0:00:00.120713
DeckStack_bin,10000,9,0 days 00:00:00.091900,0.49591064453125,0:00:00.008470,0:00:00.037590
DeckStack_npy,10000,10,0 days 00:00:00.010865,0.49603271484375,0:00:00.037262,0:00:00.154127
DeckStack_bin,10000,11,0 days 00:00:00.089259,0.49591064453125,0:00:00,0:00:00.047130
DeckStack_npy,10000,12,0 days 00:00:00.008307,0.49603271484375,0:00:00.038253,0:00:00.146854
DeckStack_bin,10000,13,0 days 00:00:00.096113,0.49591064453125,0:00:00.004008,0:00:00.039268
DeckStack_npy,10000,14,0 days 00:00:00.026101,0.49603271484375,0:00:00.047775,0:00:00.121587
DeckStack_bin,10000,15,0 days 00:00:00.086648,0.49591064453125,0:00:00.014544,0:00:00.031078
DeckStack_npy,10000,16,0 days 00:00:00.015922,0.49603271484375,0:00:00.037550,0:00:00.220060
DeckStack_bin,10000,17,0 days 00:00:00.087193,0.49591064453125,0:00:00.006660,0:00:00.040710
DeckStack_npy,10000,18,0 days 00:00:00.016928,0.49603271484375,0:00:00.037357,0:00:00.115746
DeckStack_bin,10000,19,0 days 00:00:00.102297,0.49591064453125,0:00:00,0:00:00.047864
DeckStack_npy,10000,20,0 days 00:00:00.005751,0.49603271484375,0:00:00,0:00:00.151756
DeckStack_bin,10000,21,0 days 00:00:00.118216,0.49591064453125,0:00:00.012761,0:00:00.035462
DeckStack_npy,10000,22,0 days 00:00:00.016203,0.49603271484375,0:00:00.039908,0:00:00.121710
DeckStack_bin,10000,23,0 days 00:00:00.091317,0.49591064453125,0:00:00.011288,0:00:00.030315
DeckStack_npy,10000,24,0 days 00:00:00.015658,0.49603271484375,0:00:00.037977,0:00:00.120006
DeckStack_bin,10000,25,0 days 00:00:00.097141,0.49591064453125,0:00:00.055720,0:00:00.040279
DeckStack_npy,10000,26,0 days 00:00:00.017671,0.49603271484375,0:00:00.008510,0:00:00.095693
DeckStack_bin,10000,27,0 days 00:00:00.093328,0.49591064453125,0:00:00.012652,0:00:00.047194
DeckStack_npy,10000,28,0 days 00:00:00.019421,0.49603271484375,0:00:00.037702,0:00:00.110597
DeckStack_bin,10000,29,0 days 00:00:00.093841,0.49591064453125,0:00:00,0:00:00.039723
DeckStack_npy,10000,30,0 days 00:00:00.018037,0.49603271484375,0:00:00.038254,0:00:00.112264
DeckStack_bin,10000,31,0 days 00:00:00.106860,0.49591064453125,0:00:00.011448,0:00:00.040277
DeckStack_npy,10000,32,0 days 00:00:00.015923,0.49603271484375,0:00:00.038479,0:00:00.122780
DeckStack_bin,10000,33,0 days 00:00:00.093005,0.49591064453125,0:00:00.011085,0:00:00.031891
DeckStack_npy,10000,34,0 days 00:00:00.015872,0.49603271484375,0:00:00.041931,0:00:00.116648
DeckStack_bin,10000,35,0 days 00:00:00.085261,0.49591064453125,0:00:00,0:00:00.047416
DeckStack_npy,10000,36,0 days 00:00:00.063150,0.49603271484375,0:00:00.040849,0:00:00.128594
DeckStack_bin,10000,37,0 days 00:00:00.091026,0.49591064453125,0:00:00.006414,0:00:00.031305
DeckStack_npy,10000,38,0 days 00:00:00.015765,0.49603271484375,0:00:00.041264,0:00:00.130168
DeckStack_bin,10000,39,0 days 00:00:00.099876,0.49591064453125,0:00:00.009030,0:00:00.034911
DeckStack_npy,10000,40,0 days 00:00:00.021945,0.49603271484375,0:00:00.036168,0:00:00.171529
DeckStack_bin,10000,41,0 days 00:00:00.111851,0.49591064453125,0:00:00,0:00:00.046069
DeckStack_npy,10000,42,0 days 00:00:00.017830,0.49603271484375,0:00:00.039379,0:00:00.110918
