,p1,p2,p1_wins_tricks,p2_wins_tricks,p1_wins_cards,p2_wins_cards,draws_tricks,draws_cards
0,000,001,84869,92642,99282,106587,32489,4131
1,000,010,44309,139916,57739,148884,25775,3377
2,000,011,23892,161574,36966,168789,24534,4245
3,000,100,243,208929,0,209998,828,2
4,000,101,35142,145874,52691,152914,28984,4395
5,000,110,1746,203121,1965,207467,5133,568
6,000,111,68177,68591,101645,102295,73232,6060
7,001,000,92642,84869,106587,99282,32489,4131
8,001,010,167987,24423,181054,26076,17590,2870
9,001,011,185493,10990,200686,7550,13517,1764
10,001,100,5518,196677,415,209471,7805,114
11,001,101,166456,23924,192650,14432,19620,2918
12,001,110,85792,85831,100163,100438,38377,9399
13,001,111,203108,1869,207452,2010,5023,538
14,010,000,139916,44309,148884,57739,25775,3377
15,010,001,24423,167987,26076,181054,17590,2870
16,010,011,90829,90464,101906,102072,28707,6022
17,010,100,88874,92888,88366,116964,28238,4670
18,010,101,85051,85106,102351,102698,39843,4951
19,010,110,23718,166533,14399,192647,19749,2954
20,010,111,145733,35244,152443,53085,29023,4472
21,011,000,161574,23892,168789,36966,24534,4245
22,011,001,10990,185493,7550,200686,13517,1764
23,011,010,90464,90829,102072,101906,28707,6022
24,011,100,90768,90557,102050,101799,28675,6151
25,011,101,92727,88759,117028,88415,28514,4557
26,011,110,196530,5404,209506,404,8066,90
27,011,111,208899,261,209997,2,840,1
28,100,000,208929,243,209998,0,828,2
29,100,001,196677,5518,209471,415,7805,114
30,100,010,92888,88874,116964,88366,28238,4670
31,100,011,90557,90768,101799,102050,28675,6151
32,100,101,90374,90547,102112,101776,29079,6112
33,100,110,10836,185569,7570,200739,13595,1691
34,100,111,161490,23639,168711,37081,24871,4208
35,101,000,145874,35142,152914,52691,28984,4395
36,101,001,23924,166456,14432,192650,19620,2918
37,101,010,85106,85051,102698,102351,39843,4951
38,101,011,88759,92727,88415,117028,28514,4557
39,101,100,90547,90374,101776,102112,29079,6112
40,101,110,24416,168161,26023,181287,17423,2690
41,101,111,139572,44465,148444,58222,25963,3334
42,110,000,203121,1746,207467,1965,5133,568
43,110,001,85831,85792,100438,100163,38377,9399
44,110,010,166533,23718,192647,14399,19749,2954
45,110,011,5404,196530,404,209506,8066,90
46,110,100,185569,10836,200739,7570,13595,1691
47,110,101,168161,24416,181287,26023,17423,2690
48,110,111,92510,85095,106602,99140,32395,4258
49,111,000,68591,68177,102295,101645,73232,6060
50,111,001,1869,203108,2010,207452,5023,538
51,111,010,35244,145733,53085,152443,29023,4472
52,111,011,261,208899,2,209997,840,1
53,111,100,23639,161490,37081,168711,24871,4208
54,111,101,44465,139572,58222,148444,25963,3334
55,111,110,85095,92510,99140,106602,32395,4258
