,p1,p2,p1_wins_tricks,p2_wins_tricks,p1_wins_cards,p2_wins_cards,draws_tricks,draws_cards
0,000,001,646265,706891,754830,813057,246844,32113
1,000,010,337939,1064971,442537,1131543,197090,25920
2,000,011,179694,1232085,282087,1286125,188221,31788
3,000,100,1754,1591865,18,1599973,6381,9
4,000,101,267978,1111545,403166,1162887,220477,33947
5,000,110,13303,1547600,15117,1580757,39097,4126
6,000,111,520817,519741,777504,776370,559442,46126
7,001,000,706891,646265,813057,754830,246844,32113
8,001,010,1281140,186068,1380584,198311,132792,21105
9,001,011,1412355,82965,1529050,57575,104680,13375
10,001,100,42017,1496638,3138,1596103,61345,759
11,001,101,1267536,181614,1468082,109931,150850,21987
12,001,110,655373,654502,764806,764102,290125,71092
13,001,111,1548077,13258,1581023,14996,38665,3981
14,010,000,1064971,337939,1131543,442537,197090,25920
15,010,001,186068,1281140,198311,1380584,132792,21105
16,010,011,690931,689928,777144,776861,219141,45995
17,010,100,677837,707315,672039,893122,214848,34839
18,010,101,650118,650204,780914,780857,299678,38229
19,010,110,182001,1267048,109749,1467986,150951,22265
20,010,111,1111949,267293,1163462,402334,220758,34204
21,011,000,1232085,179694,1286125,282087,188221,31788
22,011,001,82965,1412355,57575,1529050,104680,13375
23,011,010,689928,690931,776861,777144,219141,45995
24,011,100,690576,690877,776867,777464,218547,45669
25,011,101,706899,677216,892981,672320,215885,34699
26,011,110,1496408,42128,1596235,3008,61464,757
27,011,111,1591693,1809,1599974,16,6498,10
28,100,000,1591865,1754,1599973,18,6381,9
29,100,001,1496638,42017,1596103,3138,61345,759
30,100,010,707315,677837,893122,672039,214848,34839
31,100,011,690877,690576,777464,776867,218547,45669
32,100,101,690115,690056,777350,776976,219829,45674
33,100,110,83277,1412449,57716,1528952,104274,13332
34,100,111,1232325,179337,1287018,280885,188338,32097
35,101,000,1111545,267978,1162887,403166,220477,33947
36,101,001,181614,1267536,109931,1468082,150850,21987
37,101,010,650204,650118,780857,780914,299678,38229
38,101,011,677216,706899,672320,892981,215885,34699
39,101,100,690056,690115,776976,777350,219829,45674
40,101,110,185875,1281612,197944,1380990,132513,21066
41,101,111,1064729,337424,1131802,442476,197847,25722
42,110,000,1547600,13303,1580757,15117,39097,4126
43,110,001,654502,655373,764102,764806,290125,71092
44,110,010,1267048,182001,1467986,109749,150951,22265
45,110,011,42128,1496408,3008,1596235,61464,757
46,110,100,1412449,83277,1528952,57716,104274,13332
47,110,101,1281612,185875,1380990,197944,132513,21066
48,110,111,706856,646176,813800,754114,246968,32086
49,111,000,519741,520817,776370,777504,559442,46126
50,111,001,13258,1548077,14996,1581023,38665,3981
51,111,010,267293,1111949,402334,1163462,220758,34204
52,111,011,1809,1591693,16,1599974,6498,10
53,111,100,179337,1232325,280885,1287018,188338,32097
54,111,101,337424,1064729,442476,1131802,197847,25722
55,111,110,646176,706856,754114,813800,246968,32086
