,p1,p2,p1_wins_tricks,p2_wins_tricks,p1_wins_cards,p2_wins_cards,draws_tricks,draws_cards
0,000,001,597868,653869,698497,751909,228263,29594
1,000,010,312192,985390,409063,1047041,182418,23896
2,000,011,166171,1139816,260602,1189981,174013,29417
3,000,100,1615,1472494,17,1479974,5891,9
4,000,101,247641,1028464,372673,1075989,203895,31338
5,000,110,12300,1431565,13940,1462256,36135,3804
6,000,111,481754,480602,719399,718018,517644,42583
7,001,000,653869,597868,751909,698497,228263,29594
8,001,010,1184947,172229,1276796,183636,122824,19568
9,001,011,1306358,76814,1414282,53327,96828,12391
10,001,100,38898,1384338,2905,1476391,56764,704
11,001,101,1172092,168268,1357628,101964,139640,20408
12,001,110,605984,605525,707313,706918,268491,65769
13,001,111,1431988,12243,1462412,13896,35769,3692
14,010,000,985390,312192,1047041,409063,182418,23896
15,010,001,172229,1184947,183636,1276796,122824,19568
16,010,011,638978,638211,718816,718572,202811,42612
17,010,100,627212,653919,622166,825549,198869,32285
18,010,101,601000,601954,722059,722538,277046,35403
19,010,110,168242,1172148,101534,1357917,139610,20549
20,010,111,1028655,247173,1076360,372031,204172,31609
21,011,000,1139816,166171,1189981,260602,174013,29417
22,011,001,76814,1306358,53327,1414282,96828,12391
23,011,010,638211,638978,718572,718816,202811,42612
24,011,100,639197,638497,719053,718667,202306,42280
25,011,101,653788,626611,825974,621898,199601,32128
26,011,110,1384132,38966,1476530,2775,56902,695
27,011,111,1472326,1680,1479979,15,5994,6
28,100,000,1472494,1615,1479974,17,5891,9
29,100,001,1384338,38898,1476391,2905,56764,704
30,100,010,653919,627212,825549,622166,198869,32285
31,100,011,638497,639197,718667,719053,202306,42280
32,100,101,637873,638843,718594,719101,203284,42305
33,100,110,76911,1306693,53358,1414328,96396,12314
34,100,111,1139954,165800,1190545,259871,174246,29584
35,101,000,1028464,247641,1075989,372673,203895,31338
36,101,001,168268,1172092,101964,1357628,139640,20408
37,101,010,601954,601000,722538,722059,277046,35403
38,101,011,626611,653788,621898,825974,199601,32128
39,101,100,638843,637873,719101,718594,203284,42305
40,101,110,171900,1185385,183153,1277363,122715,19484
41,101,111,984930,311933,1046992,409197,183137,23811
42,110,000,1431565,12300,1462256,13940,36135,3804
43,110,001,605525,605984,706918,707313,268491,65769
44,110,010,1172148,168242,1357917,101534,139610,20549
45,110,011,38966,1384132,2775,1476530,56902,695
46,110,100,1306693,76911,1414328,53358,96396,12314
47,110,101,1185385,171900,1277363,183153,122715,19484
48,110,111,654243,597398,753110,697210,228359,29680
49,111,000,480602,481754,718018,719399,517644,42583
50,111,001,12243,1431988,13896,1462412,35769,3692
51,111,010,247173,1028655,372031,1076360,204172,31609
52,111,011,1680,1472326,15,1479979,5994,6
53,111,100,165800,1139954,259871,1190545,174246,29584
54,111,101,311933,984930,409197,1046992,183137,23811
55,111,110,597398,654243,697210,753110,228359,29680
