score_type,score_time
ScoringDeckPd,0 days 00:00:00.036931
ScoringDeckPd,0 days 00:00:00.018655
ScoringDeckPd,0 days 00:00:00.024093
ScoringDeckPd,0 days 00:00:00.026380
ScoringDeckPd,0 days 00:00:00.021561
ScoringDeckPd,0 days 00:00:00.023462
ScoringDeckPd,0 days 00:00:00.011308
ScoringDeckPd,0 days 00:00:00.035725
ScoringDeckPd,0 days 00:00:00.019026
ScoringDeckPd,0 days 00:00:00.029416
ScoringDeckPd,0 days 00:00:00.020265
ScoringDeckPd,0 days 00:00:00.021717
ScoringDeckPd,0 days 00:00:00.018274
ScoringDeckPd,0 days 00:00:00.024556
ScoringDeckPd,0 days 00:00:00.030226
ScoringDeckPd,0 days 00:00:00.032385
ScoringDeckPd,0 days 00:00:00.020119
ScoringDeckPd,0 days 00:00:00.031733
ScoringDeckPd,0 days 00:00:00.023777
ScoringDeckPd,0 days 00:00:00.016089
ScoringDeckPd,0 days 00:00:00.010711
ScoringDeckPd,0 days 00:00:00.023715
ScoringDeckPd,0 days 00:00:00.015778
ScoringDeckPd,0 days 00:00:00.032046
ScoringDeckPd,0 days 00:00:00.018293
ScoringDeckPd,0 days 00:00:00.022121
ScoringDeckPd,0 days 00:00:00.027957
ScoringDeckPd,0 days 00:00:00.017312
ScoringDeckPd,0 days 00:00:00.033171
ScoringDeckPd,0 days 00:00:00.022257
ScoringDeckPd,0 days 00:00:00.028268
ScoringDeckPd,0 days 00:00:00.012273
ScoringDeckPd,0 days 00:00:00.034157
ScoringDeckPd,0 days 00:00:00.028202
ScoringDeckPd,0 days 00:00:00.016933
ScoringDeckPd,0 days 00:00:00.032176
ScoringDeckPd,0 days 00:00:00.016818
ScoringDeckPd,0 days 00:00:00.033092
ScoringDeckPd,0 days 00:00:00.021453
ScoringDeckPd,0 days 00:00:00.024699
ScoringDeckPd,0 days 00:00:00.021781
ScoringDeckPd,0 days 00:00:00.020493
ScoringDeckPd,0 days 00:00:00.024825
ScoringDeckPd,0 days 00:00:00.023394
ScoringDeckPd,0 days 00:00:00.040843
ScoringDeckPd,0 days 00:00:00.039609
ScoringDeckPd,0 days 00:00:00.027010
ScoringDeckPd,0 days 00:00:00.020814
ScoringDeckPd,0 days 00:00:00.025899
ScoringDeckPd,0 days 00:00:00.018245
ScoringDeckPd,0 days 00:00:00.017986
ScoringDeckPd,0 days 00:00:00.009914
ScoringDeckPd,0 days 00:00:00.023117
ScoringDeckPd,0 days 00:00:00.009105
ScoringDeckPd,0 days 00:00:00.017439
ScoringDeckPd,0 days 00:00:00.024811
ScoringDeckPd,0 days 00:00:00.020769
ScoringDeckPd,0 days 00:00:00.021122
ScoringDeckPd,0 days 00:00:00.007756
ScoringDeckPd,0 days 00:00:00.016978
ScoringDeckPd,0 days 00:00:00.027354
ScoringDeckPd,0 days 00:00:00.018157
ScoringDeckPd,0 days 00:00:00.025442
ScoringDeckPd,0 days 00:00:00.023188
ScoringDeckPd,0 days 00:00:00.031416
ScoringDeckPd,0 days 00:00:00.015779
ScoringDeckPd,0 days 00:00:00.024841
ScoringDeckPd,0 days 00:00:00.023919
ScoringDeckPd,0 days 00:00:00.016020
ScoringDeckPd,0 days 00:00:00.019975
ScoringDeckPd,0 days 00:00:00.009518
ScoringDeckPd,0 days 00:00:00.019478
ScoringDeckPd,0 days 00:00:00.031889
ScoringDeckPd,0 days 00:00:00.015897
ScoringDeckPd,0 days 00:00:00.015798
ScoringDeckPd,0 days 00:00:00.027325
ScoringDeckPd,0 days 00:00:00.012191
ScoringDeckPd,0 days 00:00:00.021658
