score_type,score_time
ScoringDeck,0 days 00:00:00.573218
ScoringDeck,0 days 00:00:00.472364
ScoringDeck,0 days 00:00:00.529707
ScoringDeck,0 days 00:00:00.474496
ScoringDeck,0 days 00:00:00.500358
ScoringDeck,0 days 00:00:00.461365
ScoringDeck,0 days 00:00:00.447960
ScoringDeck,0 days 00:00:00.468959
ScoringDeck,0 days 00:00:00.518939
ScoringDeck,0 days 00:00:00.508499
ScoringDeck,0 days 00:00:00.507091
ScoringDeck,0 days 00:00:00.527701
ScoringDeck,0 days 00:00:00.522667
ScoringDeck,0 days 00:00:00.530258
ScoringDeck,0 days 00:00:00.493252
ScoringDeck,0 days 00:00:00.536237
ScoringDeck,0 days 00:00:00.582305
ScoringDeck,0 days 00:00:00.557975
ScoringDeck,0 days 00:00:00.559888
ScoringDeck,0 days 00:00:00.516567
ScoringDeck,0 days 00:00:00.518413
ScoringDeck,0 days 00:00:00.529053
ScoringDeck,0 days 00:00:00.548370
ScoringDeck,0 days 00:00:00.511203
ScoringDeck,0 days 00:00:00.558833
ScoringDeck,0 days 00:00:00.949686
ScoringDeck,0 days 00:00:01.149619
ScoringDeck,0 days 00:00:01.134901
ScoringDeck,0 days 00:00:01.115243
ScoringDeck,0 days 00:00:01.192259
ScoringDeck,0 days 00:00:01.172544
ScoringDeck,0 days 00:00:01.160757
ScoringDeck,0 days 00:00:01.188247
ScoringDeck,0 days 00:00:01.048957
ScoringDeck,0 days 00:00:00.977701
ScoringDeck,0 days 00:00:00.937656
ScoringDeck,0 days 00:00:01.018702
ScoringDeck,0 days 00:00:00.880476
ScoringDeck,0 days 00:00:00.987198
ScoringDeck,0 days 00:00:00.918643
ScoringDeck,0 days 00:00:01.041565
ScoringDeck,0 days 00:00:01.026346
ScoringDeck,0 days 00:00:01.016396
ScoringDeck,0 days 00:00:01.065031
ScoringDeck,0 days 00:00:01.058070
ScoringDeck,0 days 00:00:01.072106
ScoringDeck,0 days 00:00:01.035920
ScoringDeck,0 days 00:00:01.074870
ScoringDeck,0 days 00:00:01.022944
ScoringDeck,0 days 00:00:01.099596
ScoringDeck,0 days 00:00:01.122475
ScoringDeck,0 days 00:00:01.030401
ScoringDeck,0 days 00:00:01.079531
ScoringDeck,0 days 00:00:01.071412
ScoringDeck,0 days 00:00:01.051463
ScoringDeck,0 days 00:00:01.009526
ScoringDeck,0 days 00:00:00.945912
